Activity ID,date,year,time,name,type,Activity Description,elapsed_time,distance,Relative Effort,Commute,Activity Gear,Filename,day_computed
,May 31,,8:42:35 PM,,Ride,,1573,3.82,,,,,152
,Jun 4,,8:01:39 PM,,Ride,,1415,4.49,,,,,156
,Jun 8,,1:23:51 AM,,Ride,,2158,7.48,,,,,160
,Jun 10,,1:21:14 PM,,Ride,,2529,7.73,,,,,162
,Jun 11,,10:54:26 AM,,Ride,,3122,7.76,,,,,163
,Jun 12,,11:09:08 AM,,Ride,,2511,8.01,,,,,164
,Jun 13,,12:59:32 PM,,Ride,,1135,3.7,,,,,165
,Jun 14,,9:22:22 PM,,Ride,,1256,3.68,,,,,166
,Jun 17,,11:15:40 AM,,Ride,,1848,6.96,,,,,169
,Jun 18,,11:38:54 AM,,Ride,,2184,7.26,,,,,170
,Jun 19,,11:28:25 AM,,Ride,,2432,7.54,,,,,171
,Jun 20,,11:08:21 AM,,Ride,,2779,7.73,,,,,172
,Jun 21,,12:08:34 PM,,Ride,,1793,7.26,,,,,173
,Jun 23,,12:51:44 PM,,Ride,,13258,57.43,,,,,175
,Jun 24,,11:23:21 AM,,Ride,,3035,7.49,,,,,176
,Jun 25,,11:03:26 AM,,Ride,,2492,7.95,,,,,177
,Jun 26,,11:30:55 AM,,Ride,,2982,7.65,,,,,178
,Jun 27,,11:18:48 AM,,Ride,,4068,8.06,,,,,179
,Jun 28,,11:28:01 AM,,Ride,,2467,7.37,,,,,180
,Jul 1,,5:51:14 AM,,Ride,,3855,13.34,,,,,183
,Jul 2,,10:43:57 AM,,Ride,,2028,7.45,,,,,184
,Jul 8,,10:41:56 AM,,Ride,,2342,7.34,,,,,190
,Jul 10,,11:14:18 AM,,Ride,,2056,7.89,,,,,192
,Jul 11,,11:35:40 AM,,Ride,,3589,7.84,,,,,193
,Jul 18,,9:45:19 PM,,Ride,,1683,4.07,,,,,200
,Jul 19,,12:19:10 PM,,Ride,,1633,6.6,,,,,201
,Jul 20,,8:25:44 AM,,Ride,,2860,6.45,,,,,202
,Jul 22,,11:03:59 AM,,Ride,,2032,7.83,,,,,204
,Jul 23,,11:13:53 AM,,Ride,,1684,7.23,,,,,205
,Jul 24,,10:49:43 AM,,Ride,,2411,7.58,,,,,206
,Jul 25,,11:03:37 AM,,Ride,,1921,7.67,,,,,207
,Jul 26,,11:18:01 AM,,Ride,,12657,7.55,,,,,208
,Jul 27,,1:37:42 PM,,Ride,,1894,7.11,,,,,209
,Jul 29,,11:16:17 AM,,Ride,,2901,7.48,,,,,211
,Jul 30,,10:24:54 AM,,Ride,,2534,7.98,,,,,212
,Jul 31,,4:33:00 AM,,Ride,,1332,7.34,,,,,213
,Aug 1,,1:28:59 PM,,Ride,,1282,4.94,,,,,214
,Aug 2,,11:49:00 AM,,Ride,,2707,8.28,,,,,215
,Aug 3,,1:24:46 PM,,Ride,,2184,3.39,,,,,216
,Aug 5,,10:50:23 AM,,Ride,,1212,6.43,,,,,218
,Aug 6,,9:49:12 AM,,Ride,,1717,7.46,,,,,219
,Aug 7,,11:04:21 AM,,Ride,,1492,7.48,,,,,220
,Aug 8,,9:44:35 AM,,Ride,,1652,7.65,,,,,221
,Aug 9,,6:02:31 PM,,Ride,,3074,13.83,,,,,222
,Aug 12,,10:31:30 AM,,Ride,,1581,7.31,,,,,225
,Aug 13,,11:09:40 AM,,Ride,,1193,4.95,,,,,226
,Aug 14,,2:41:07 PM,,Ride,,4454,13.25,,,,,227
,Aug 15,,11:00:43 AM,,Ride,,1464,7.49,,,,,228
,Aug 16,,10:48:07 AM,,Ride,,1131,5.35,,,,,229
,Aug 17,,2:03:00 AM,,Ride,,1356,7.41,,,,,230
,Aug 19,,9:37:46 AM,,Ride,,1772,7.11,,,,,232
,Aug 20,,10:45:19 AM,,Ride,,1488,7.32,,,,,233
,Aug 21,,9:53:13 AM,,Ride,,2345,7.63,,,,,234
,Aug 22,,10:24:20 AM,,Ride,,2114,7.58,,,,,235
,Aug 23,,10:49:31 AM,,Ride,,1523,7.55,,,,,236
,Aug 26,,10:39:10 AM,,Ride,,1245,7.28,,,,,239
,Aug 27,,10:39:04 AM,,Ride,,1494,7.57,,,,,240
,Aug 28,,10:43:53 AM,,Ride,,960,5.02,,,,,241
,Aug 29,,10:20:19 AM,,Ride,,1988,8.2,,,,,242
,Aug 30,,11:32:01 AM,,Ride,,1378,7.55,,,,,243
,Sep 2,,5:07:51 PM,,Ride,,3185,4.62,,,,,246
,Sep 3,,4:54:03 AM,,Ride,,1522,7.47,,,,,247
,Sep 4,,12:44:28 AM,,Ride,,2371,9.33,,,,,248
,Sep 5,,12:03:37 PM,,Ride,,3558,9.09,,,,,249
,Sep 6,,10:20:12 AM,,Ride,,4645,8.64,,,,,250
,Sep 9,,11:44:31 AM,,Ride,,1016,3.6,,,,,253
,Sep 10,,9:30:15 AM,,Ride,,2217,10.54,,,,,254
,Sep 11,,9:00:31 AM,,Ride,,3416,9.75,,,,,255
,Sep 12,,10:31:25 AM,,Ride,,1598,7.5,,,,,256
,Sep 13,,10:48:54 AM,,Ride,,1597,7.5,,,,,257
,Sep 16,,10:29:17 AM,,Ride,,1408,7.67,,,,,260
,Sep 17,,10:38:25 AM,,Ride,,1987,8.05,,,,,261
,Sep 18,,11:49:27 AM,,Ride,,2869,6.75,,,,,262
,Sep 19,,11:00:12 AM,,Ride,,1529,7.41,,,,,263
,Sep 20,,5:59:53 AM,,Ride,,5436,16.46,,,,,264
,Sep 21,,2:46:08 PM,,Ride,,6285,18.3,,,,,265
,Sep 22,,10:42:50 PM,,Ride,,2328,9.21,,,,,266
,Sep 23,,11:30:28 AM,,Ride,,2879,7.97,,,,,267
,Sep 24,,11:50:39 AM,,Ride,,3800,9.24,,,,,268
,Sep 25,,10:29:10 AM,,Ride,,2364,7.55,,,,,269
,Sep 26,,10:50:15 AM,,Ride,,3307,11.26,,,,,270
,Sep 27,,3:08:55 PM,,Ride,,3195,15.23,,,,,271
,Sep 28,,12:53:54 PM,,Ride,,2030,7.12,,,,,272
,Sep 30,,6:39:38 AM,,Ride,,8937,13.38,,,,,274
,Oct 3,,9:13:24 PM,,Ride,,1026,4.02,,,,,277
,Oct 4,,10:25:58 AM,,Ride,,2250,7.89,,,,,278
,Oct 5,,10:54:16 AM,,Ride,,1380,7.02,,,,,279
,Oct 6,,11:31:33 AM,,Ride,,5800,8.68,,,,,280
,Oct 7,,11:23:59 AM,,Ride,,2623,7.66,,,,,281
,Oct 8,,12:27:21 AM,,Ride,,3048,15.14,,,,,282
,Oct 13,,7:17:34 PM,,Ride,,1157,5.63,,,,,287
,Oct 15,,9:49:36 AM,,Ride,,7204,7.92,,,,,289
,Oct 16,,11:55:59 AM,,Ride,,3031,7.32,,,,,290
,Oct 17,,12:00:23 PM,,Ride,,3197,7.93,,,,,291
,Oct 19,,8:11:56 AM,,Ride,,1532,7.31,,,,,293
,Oct 21,,10:25:15 AM,,Ride,,2152,7.85,,,,,295
,Oct 22,,4:30:25 AM,,Ride,,4576,15.99,,,,,296
,Oct 23,,11:59:17 AM,,Ride,,1395,6.31,,,,,297
,Oct 24,,11:45:53 AM,,Ride,,1315,6.17,,,,,298
,Oct 25,,11:42:50 AM,,Ride,,1541,7.59,,,,,299
,Oct 28,,12:22:24 PM,,Ride,,1453,6,,,,,302
,Oct 29,,10:14:49 AM,,Ride,,2244,8.59,,,,,303
,Oct 30,,10:43:47 AM,,Ride,,2022,7.82,,,,,304
,Oct 31,,10:24:09 AM,,Ride,,3127,7.58,,,,,305
,Nov 1,,11:58:31 AM,,Ride,,14010,8.4,,,,,306
