id,start_time,end_time,meters,service,calories,climb
b86dcdfe-2d6d-11ea-beea-06fe85f8df16,2019-12-26-13:37:05,2019-12-26-14:04:08,3604.3,strava,0,24.5
b86e9b9c-2d6d-11ea-beec-06fe85f8df16,2019-12-24-16:39:40,2019-12-24-17:08:54,4117.6,strava,0,18.3
ccdf07c1-2a4d-11ea-be15-06fe85f8df16,2019-11-29-17:38:26,2019-11-29-18:10:31,4298,strava,0,21.3
df7fd477-2146-11ea-a8e6-06fe85f8df16,2019-11-19-22:57:04,2019-11-19-23:31:21,5783.9,strava,0,12.2
fda39742-1768-11ea-81a9-06fe85f8df16,2019-11-11-11:50:34,2019-11-11-12:24:27,6786.4,strava,0,23.8
08507118-0db4-11ea-a20a-06fe85f8df16,2019-11-05-13:14:20,2019-11-05-13:49:31,5279.4,strava,0,25.9
fe4850ea-0b1c-11ea-9533-06fe85f8df16,2019-10-31-12:15:21,2019-10-31-12:45:33,5463.9,strava,0,12.7
66bff0ca-072e-11ea-8591-06fe85f8df16,2019-10-27-17:48:47,2019-10-27-18:13:12,3651.5,strava,0,18.1
e93b8673-0703-11ea-8ba4-06fe85f8df16,2019-10-27-17:16:47,2019-10-27-17:44:32,4560.2,strava,0,13.7
1f00e781-0569-11ea-8ce3-06fe85f8df16,2019-10-21-11:44:02,2019-10-21-12:14:48,5056.2,strava,0,57.1
1f038444-0569-11ea-8cea-06fe85f8df16,2019-10-16-11:12:40,2019-10-16-11:36:06,4855.9,strava,0,21.2
1f04e612-0569-11ea-8cef-06fe85f8df16,2019-10-08-22:04:06,2019-10-08-22:28:10,4937.1,strava,0,61.6
1f56b630-0569-11ea-8cfc-06fe85f8df16,2019-10-05-17:19:58,2019-10-05-17:50:10,4870.8,strava,0,65.2
1f57f41e-0569-11ea-8d01-06fe85f8df16,2019-10-03-11:17:41,2019-10-03-11:41:20,3787.6,strava,0,8.5
1f598ba1-0569-11ea-8d04-06fe85f8df16,2019-09-30-11:15:51,2019-09-30-11:43:58,5509.5,strava,0,27
1fb33ba4-0569-11ea-8d1a-06fe85f8df16,2019-09-19-21:58:36,2019-09-19-22:45:45,7494.3,strava,0,46.2
1fb51cec-0569-11ea-8d21-06fe85f8df16,2019-09-17-11:30:35,2019-09-17-12:08:18,8055.6,strava,0,64.6
1fb6385c-0569-11ea-8d24-06fe85f8df16,2019-09-15-22:01:26,2019-09-15-22:42:51,6470,strava,0,43.5
1fb86245-0569-11ea-8d2c-06fe85f8df16,2019-09-11-11:32:22,2019-09-11-11:57:06,4963.7,strava,0,53.1
1fb9b140-0569-11ea-8d31-06fe85f8df16,2019-09-07-12:51:44,2019-09-07-13:14:36,4228.1,strava,0,22.1
201347ae-0569-11ea-8d39-06fe85f8df16,2019-09-03-22:48:11,2019-09-03-23:48:07,11043.9,strava,0,69.6
201853a8-0569-11ea-8d41-06fe85f8df16,2019-08-30-11:00:26,2019-08-30-11:43:26,8046.7,strava,0,0
201a42a0-0569-11ea-8d46-06fe85f8df16,2019-08-27-22:19:58,2019-08-27-23:30:25,12404.5,strava,0,222.4
201bdc85-0569-11ea-8d4b-06fe85f8df16,2019-08-26-10:38:10,2019-08-26-11:01:56,4854,strava,0,56.1
201d2501-0569-11ea-8d50-06fe85f8df16,2019-08-22-10:25:09,2019-08-22-10:50:47,4828,strava,0,0
201e35c0-0569-11ea-8d53-06fe85f8df16,2019-08-20-23:10:15,2019-08-20-23:56:25,7770,strava,0,98.8
20646b43-0569-11ea-8d54-06fe85f8df16,2019-08-20-22:35:19,2019-08-20-22:42:24,1334.9,strava,0,8.1
20662dcf-0569-11ea-8d59-06fe85f8df16,2019-08-19-10:55:01,2019-08-19-11:18:02,4845.1,strava,0,49.3
2066f6f2-0569-11ea-8d5b-06fe85f8df16,2019-08-17-12:31:21,2019-08-17-13:43:31,9874.1,strava,0,187.7
2068aff4-0569-11ea-8d61-06fe85f8df16,2019-08-15-10:38:31,2019-08-15-11:05:52,4855.2,strava,0,48.3
2069fe5a-0569-11ea-8d64-06fe85f8df16,2019-08-14-11:22:27,2019-08-14-11:46:27,5155.8,strava,0,10.6
206bad33-0569-11ea-8d68-06fe85f8df16,2019-08-13-11:21:24,2019-08-13-12:12:50,6574.7,strava,0,55.7
206ce829-0569-11ea-8d6b-06fe85f8df16,2019-08-11-11:24:47,2019-08-11-12:22:49,8560.9,strava,0,141.3
206ef5a8-0569-11ea-8d70-06fe85f8df16,2019-08-09-10:40:29,2019-08-09-11:07:29,4989,strava,0,0
