artist,count
Lauv,496
Leon Bridges,422
Chance the Rapper,301
Maggie Rogers,230
Bahamas,203
Young the Giant,194
Dawes,193
Noah Gundersen,187
Discovery,170
Bon Iver,159
The Paper Kites,133
Sufjan Stevens,116
Charlotte Day Wilson,115
Rhye,107
Beck,85
Bear's Den,85
Vampire Weekend,82
Tame Impala,80
The Japanese House,76
Rogue Wave,73
Cigarettes After Sex,70
Alabama Shakes,67
The Head and the Heart,63
Blind Pilot,63
Junip,62
Sleeping at Last,57
Gregory Alan Isakov,56
Local Natives,53
Whitney,46
H.E.R.,46
Brock Berrigan,45
Nick Murphy / Chet Faker,44
aXian,44
Death Cab for Cutie,42
Adele,41
Usher,40
The War on Drugs,40
Bassti,36
Alvvays,36
Sawyer,35
Rogue Valley,35
Washed Out,34
HAIM,34
Ariana Grande,34
TESK,32
Johann Sebastian Bach,32
Ray LaMontagne,31
Justin Bieber,30
Unknown Mortal Orchestra,28
Tom Misch,28
Boy & Bear,28
She & Him,27
Donnie Trumpet & The Social Experiment,27
Chet Faker,26
Lord Huron,25
Fleetwood Mac,25
Beach Fossils,25
Marvin Gaye,24
Fleet Foxes,24
Kanye West,23
CHVRCHES,23
Iron & Wine,22
Philanthrope,21
Of Monsters and Men,21
Noname,21
Penny and Sparrow,20
Justin Timberlake,20
Bing Crosby,20
Mark Ronson,19
Mariah Carey,19
Kevin Garrett,19
Francis and the Lights,19
Edward + Jane,19
DJ Khaled,19
The Wombats,18
The Piano Guys,18
Pomplamoose,18
Honne,18
Generationals,18
Bill Withers,18
Rayland Baxter,17
Joss Stone,17
Hozier,17
Houndmouth,17
baaskaT,17
Stevie Wonder,16
Nat King Cole,16
Mario,16
Luis Fonsi,16
Hiss Golden Messenger,16
Gyvus,16
DJ Snake,16
Birocratic,16
Anderson .Paak,16
Alaskalaska,16
Real Estate,15
Ra Ra Riot,15
Piano Relaxation,15
knowmadic,15
Destiny's Child,15
Blossoms,15
Benjamin Francis Leftwich,15
B-Side,15
YOKE LORE,14
The Barr Brothers,14
Taylor Swift,14
Jill Scott,14
Guustavv,14
Toro y Moi,13
The Blue Nile,13
Smokey Robinson and The Miracles,13
"Sarah, the Illstrumentalist",13
Phoebe Bridgers,13
Kevin Krauter,13
Justnormal,13
Jack Johnson,13
Grace Mitchell,13
Elder Island,13
Bruno Mars,13
Aso,13
AJMW,13
The Jackson 5,12
The Cancel,12
Sharon Van Etten,12
Samm Henshaw,12
Post Malone,12
Mt. Joy,12
Kllo,12
fujitsu,12
Frank Sinatra,12
Andrew Belle,12
Wolf Alice,11
Volcano Choir,11
Two Door Cinema Club,11
The 1975,11
Smartface,11
Perry Como,11
Oh Wonder,11
Katrina and the Waves,11
JoJo,11
jobii,11
Hans Zimmer,11
Ed Sheeran,11
Beta Radio,11
Sampha,10
Rostam,10
Maribou State,10
LCD Soundsystem,10
Hall & Oates,10
Gavin Luke,10
Father John Misty,10
Dr. Dog,10
Broken Bells,10
Ben E. King,10
Tora,9
This Will Destroy You,9
Solange,9
Night Moves,9
Mo Anando,9
Jordan Rakei,9
Jamila Woods,9
James Blake,9
invention_,9
Dylan Sitts,9
Caveboy,9
Cardi B,9
Camila Cabello,9
Caamp,9
Arcade Fire,9
Vanilla,8
TomppaBeats,8
The Supremes,8
Sigrid,8
S. Carey,8
Marcus Marr,8
Jon E. Amber,8
James Vincent McMorrow,8
isaintjames,8
Howard Shore,8
Flughand,8
FKJ,8
Dua Lipa,8
Clean Bandit,8
Chris Brown,8
Carpenters,8
Burl Ives,8
Birdtalker,8
Andy Williams,8
Amber Mark,8
Wolfgang Amadeus Mozart,7
The Lumineers,7
The Kooks,7
The Band CAMINO,7
Swum,7
Starfucker,7
Snoh Aalegra,7
Siny,7
Shawn Mendes,7
Raveena,7
Pete Rock,7
Mommy,7
Langhorne Slim,7
Jax Jones,7
HM SURF,7
Halberd,7
Gang of Youths,7
Fona,7
Foals,7
Faye Webster,7
Drama,7
Cautious Clay,7
Blood Orange,7
Angel Olsen,7
[ocean jams],7
Zedd,6
Vince Guaraldi Trio,6
Toonorth,6
The Temptations,6
The Shins,6
The Maccabees,6
The Academic,6
Tall Heights,6
Spoon,6
Speechless,6
Smoke Trees,6
Shallou,6
Shakey Graves,6
santpoort,6
Rita Ora,6
Psalm Trees,6
Praizee,6
Plusma,6
Philippe Sanderos,6
Omar Apollo,6
Nymano,6
Nokiaa,6
Matthew And The Atlas,6
Maroon 5,6
Mac DeMarco,6
Ludwig van Beethoven,6
Lady Gaga,6
KLIM,6
King Princess,6
Kaytranada,6
Jackie Wilson,6
J'San,6
iamalex,6
Henyao,6
Henry Jamison,6
Hailee Steinfeld,6
Guggenz,6
George Ezra,6
Future Islands,6
Fruit Bats,6
Flume,6
Florence + the Machine,6
Dontcry,6
DIIV,6
Dan Auerbach,6
Damu The Fudgemunk,6
Charles Gounod,6
BJ The Chicago Kid,6
Billie Eilish,6
Beach House,6
Will Sessions,5
Vance Joy,5
Tom Walker,5
The Ronettes,5
Tennis,5
SYML,5
Sylvan Esso,5
Sunflower Bean,5
Sofasound,5
Simon & Garfunkel,5
Rex Orange County,5
Rat Boy,5
Peter Bradley Adams,5
Perfume Genius,5
Passion Pit,5
Novo Amor,5
Mykola Dmytrovych Leontovych,5
Mormor,5
Moods,5
Miguel,5
Michael Kiwanuka,5
Mansionair,5
Mahalia,5
Lucius,5
Lorde,5
Lil Skate,5
Kupla,5
Khalid,5
Kendrick Lamar,5
Kay Starr,5
Juan Rios,5
Jorja Smith,5
John Legend,5
Jessie Reyez,5
Jesse McCartney,5
James McAlister,5
idealism,5
Grizzly Bear,5
Friendly Fires,5
Felix Mendelssohn,5
Emancipator,5
Edvard Grieg,5
Dustin Tebbutt,5
Dirty Projectors,5
Demi Lovato,5
Delayde,5
David Guetta,5
David Archuleta,5
Claude Debussy,5
Chief.,5
Charlie Cunningham,5
Carly Rae Jepsen,5
Bruno Major,5
Broken Social Scene,5
Billie Marten,5
Ben Howard,5
barnes blvd.,5
Angus & Julia Stone,5
A L E X,5
Zayn,4
Young in the City,4
Yax Keyon,4
Wun Two,4
Winston Surfshirt,4
William Fitzsimmons,4
Wild Nothing,4
walterwarm,4
VAllEY,4
Tom Grennan,4
Tom Doolie,4
They Dream By Day,4
The Four Tops,4
The Chainsmokers,4
The Brilliance,4
St. Paul & The Broken Bones,4
Sebastian Kamae,4
Scouting for Girls,4
Sam Smith,4
Phemenine,4
NSG,4
No Rome,4
Nagashi,4
Moss Kena,4
Monma,4
MNEK,4
Max Richter,4
Martha Reeves & The Vandellas,4
Marshmello,4
Manamera,4
Ludovico Einaudi,4
Lizzo,4
Lewis Capaldi,4
Leonard Cohen,4
Leikeli47,4
Lake Street Dive,4
Karmawin,4
Jungle,4
Julianna Zachariou,4
Judy Garland,4
Jr. Walker & The All Stars,4
JP Saxe,4
John Vincent III,4
John Mayer,4
Joesef,4
Joep Beving,4
JinSang,4
Jason Derulo,4
James Heather,4
J Balvin,4
Ian Ewing,4
