day_computed,AVERAGE of date,SUM of time,SUM of distance,SUM of elapsed_time
6,Jan 6,10:01:53 AM,6.79,2406
8,Jan 8,7:35:53 PM,5.42,2421
13,Jan 13,2:35:46 PM,5.31,3209
15,Jan 15,6:53:42 AM,4.52,1526
20,Jan 20,1:02:23 PM,5.13,2008
22,Jan 22,7:07:07 AM,4.54,1480
27,Jan 27,6:54:49 PM,4.69,1834
28,Jan 28,6:16:51 PM,4.56,3192
55,Feb 24,4:01:46 PM,5.46,3203
77,Mar 17,12:17:11 PM,4.69,2017
80,Mar 20,7:36:45 AM,6.68,2244
84,Mar 24,1:28:48 PM,5.66,4099
86,Mar 26,7:45:19 PM,5.15,2334
90,Mar 30,11:51:38 AM,5.12,3622
92,Apr 1,5:55:44 AM,4.86,1583
94,Apr 3,5:51:48 AM,6.43,2100
99,Apr 8,6:33:40 AM,4.02,1200
144,May 23,10:52:12 AM,8.55,3485
158,Jun 6,9:18:35 PM,4.71,3119
160,Jun 8,12:23:26 PM,6.12,3632
169,Jun 17,11:06:28 PM,5.13,2241
180,Jun 28,11:07:31 AM,5.05,1636
185,Jul 3,11:06:55 AM,3.44,1438
188,Jul 6,11:03:05 AM,6.36,3420
190,Jul 8,10:55:19 AM,4.57,1757
192,Jul 10,11:10:22 AM,8.56,3018
193,Jul 11,11:06:16 AM,4.84,1495
195,Jul 13,12:29:56 PM,5.72,2538
197,Jul 15,12:33:19 PM,6.33,2601
199,Jul 17,12:27:26 PM,8.73,5404
201,Jul 19,11:07:00 AM,12.07,4376
204,Jul 22,10:57:13 AM,5.01,1789
206,Jul 24,11:08:57 AM,7.18,4878
208,Jul 26,10:59:41 AM,5.03,1473
211,Jul 29,11:21:25 AM,3.65,1611
212,Jul 30,10:56:17 AM,5.8,1977
213,Jul 31,10:33:51 AM,4.83,1652
215,Aug 2,10:52:29 AM,4.82,1669
217,Aug 4,10:07:58 PM,4.89,2317
218,Aug 5,10:32:23 AM,6.47,1901
220,Aug 7,10:51:48 AM,5.03,1421
221,Aug 8,10:32:11 AM,5.25,1795
222,Aug 9,10:40:29 AM,4.98,1620
224,Aug 11,11:24:47 AM,8.56,3844
226,Aug 13,11:21:24 AM,6.57,3123
227,Aug 14,11:22:27 AM,5.15,1443
228,Aug 15,10:38:31 AM,4.85,1819
230,Aug 17,12:31:21 PM,9.87,4425
232,Aug 19,10:55:01 AM,4.84,1426
233,Aug 20,9:45:34 PM,9.1,3727
235,Aug 22,10:25:09 AM,4.82,1538
236,Aug 23,6:09:42 AM,4.05,1236
239,Aug 26,10:38:10 AM,4.85,1452
240,Aug 27,10:19:58 PM,12.4,6207
243,Aug 30,11:00:26 AM,8.04,2580
247,Sep 3,10:48:11 PM,11.04,5342
249,Sep 5,12:39:16 PM,4.15,1779
251,Sep 7,12:51:44 PM,4.22,1375
255,Sep 11,11:32:22 AM,4.96,1611
259,Sep 15,10:01:26 PM,6.47,3125
261,Sep 17,11:30:35 AM,8.05,2395
263,Sep 19,9:58:36 PM,7.49,3266
274,Sep 30,11:15:51 AM,5.51,1821
277,Oct 3,11:17:41 AM,3.78,1555
279,Oct 5,5:19:58 PM,4.87,3431
282,Oct 8,10:04:06 PM,4.93,1577
290,Oct 16,11:12:40 AM,4.85,1503
295,Oct 21,11:44:02 AM,5.05,2318
301,Oct 27,11:05:34 AM,8.21,3535
305,Oct 31,12:15:21 PM,5.46,1821
310,Nov 5,1:14:20 PM,5.28,2335
316,Nov 11,11:50:34 AM,6.78,2175
324,Nov 19,10:57:04 PM,5.78,2542
334,Nov 29,5:38:26 PM,4.29,2614
359,Dec 24,4:39:40 PM,4.11,1911
361,Dec 26,1:37:05 PM,3.6,2191
