Activity ID,date,year,time,name,type,Activity Description,elapsed_time,distance,Relative Effort,Commute,Activity Gear,Filename,day_computed
2412554558,May 31,2019,6:33:03 PM,Reservoir Trail,Hike,,6162,7.7,,FALSE,,activities/2412554558.gpx,152
2423845327,Jun 4,2019,3:45:22 PM,Skyline Trail for Maggie's birthday,Hike,,15223,15.05,,FALSE,,activities/2423845327.gpx,156
2568279183,Jul 27,2019,5:14:20 PM,Fells hike 🚶🚶‍♀️☀️,Hike,,12313,13.34,,FALSE,,activities/2568279183.gpx,209
2607734796,Aug 10,2019,1:55:22 PM,Fells hike with the fam,Hike,,12458,12.82,,FALSE,,activities/2607734796.gpx,223
2672276012,Sep 1,2019,6:00:17 PM,Hike to the summit of Mt Moosilauke ⛰️,Hike,"Met some buds at the top too! 2,600 ft climb 👌",14400,13.19,,FALSE,,,245
2731841741,Sep 22,2019,4:34:30 PM,Fells hike,Hike,,7200,9.65,,FALSE,,,266
2782618678,Oct 10,2019,2:00:04 PM,Bromley Mountain via Long Trail,Hike,Catching the fall leave at the perfect time!,12360,9.49,,FALSE,,,284
2782640451,Oct 11,2019,1:40:22 PM,The Pinnacle,Hike,,13200,12.07,,FALSE,,,285
2801193701,Oct 19,2019,2:56:55 PM,Fells loop,Hike,,5885,4.83,,FALSE,,activities/2801193701.gpx,293
2947386500,Dec 21,2019,4:14:15 PM,Snow hike at the Fells,Hike,,4455,4.79,,FALSE,,activities/2947386500.gpx,356
2955851438,Dec 25,2019,2:48:54 PM,Christmas hike,Hike,,7755,10.06,,FALSE,,activities/2955851438.gpx,360
2960498998,Dec 27,2019,3:43:03 PM,Echo Lake,Hike,,6794,6.09,,FALSE,,activities/2960498998.gpx,362
2963294597,Dec 28,2019,4:14:10 PM,Lunch Hike,Hike,,1261,1.16,,FALSE,,activities/2963294597.gpx,363
2966046370,Dec 29,2019,3:13:34 PM,Diana's Baths out and back,Hike,,8992,8.76,,FALSE,,activities/2966046370.gpx,364
2965599896,Dec 28,2019,6:17:45 PM,XC Betton Woods,Nordic Ski,,8732,9.17,,FALSE,,activities/2965599896.gpx,363
2464500527,Jun 19,2019,11:41:59 PM,Evening Activity,Rock Climbing,,3600,0,,FALSE,,,171
2940227036,Dec 17,2019,11:30:22 PM,Climbing sesh,Rock Climbing,,5400,0,,FALSE,,,352
,May 31,,8:42:35 PM,,Ride,,1573,3.82,,,,,152
,Jun 4,,8:01:39 PM,,Ride,,1415,4.49,,,,,156
,Jun 8,,1:23:51 AM,,Ride,,2158,7.48,,,,,160
,Jun 10,,1:21:14 PM,,Ride,,2529,7.73,,,,,162
,Jun 11,,10:54:26 AM,,Ride,,3122,7.76,,,,,163
,Jun 12,,11:09:08 AM,,Ride,,2511,8.01,,,,,164
,Jun 13,,12:59:32 PM,,Ride,,1135,3.7,,,,,165
,Jun 14,,9:22:22 PM,,Ride,,1256,3.68,,,,,166
,Jun 17,,11:15:40 AM,,Ride,,1848,6.96,,,,,169
,Jun 18,,11:38:54 AM,,Ride,,2184,7.26,,,,,170
,Jun 19,,11:28:25 AM,,Ride,,2432,7.54,,,,,171
,Jun 20,,11:08:21 AM,,Ride,,2779,7.73,,,,,172
,Jun 21,,12:08:34 PM,,Ride,,1793,7.26,,,,,173
,Jun 23,,12:51:44 PM,,Ride,,13258,57.43,,,,,175
,Jun 24,,11:23:21 AM,,Ride,,3035,7.49,,,,,176
,Jun 25,,11:03:26 AM,,Ride,,2492,7.95,,,,,177
,Jun 26,,11:30:55 AM,,Ride,,2982,7.65,,,,,178
,Jun 27,,11:18:48 AM,,Ride,,4068,8.06,,,,,179
,Jun 28,,11:28:01 AM,,Ride,,2467,7.37,,,,,180
,Jul 1,,5:51:14 AM,,Ride,,3855,13.34,,,,,183
,Jul 2,,10:43:57 AM,,Ride,,2028,7.45,,,,,184
,Jul 8,,10:41:56 AM,,Ride,,2342,7.34,,,,,190
,Jul 10,,11:14:18 AM,,Ride,,2056,7.89,,,,,192
,Jul 11,,11:35:40 AM,,Ride,,3589,7.84,,,,,193
,Jul 18,,9:45:19 PM,,Ride,,1683,4.07,,,,,200
,Jul 19,,12:19:10 PM,,Ride,,1633,6.6,,,,,201
,Jul 20,,8:25:44 AM,,Ride,,2860,6.45,,,,,202
,Jul 22,,11:03:59 AM,,Ride,,2032,7.83,,,,,204
,Jul 23,,11:13:53 AM,,Ride,,1684,7.23,,,,,205
,Jul 24,,10:49:43 AM,,Ride,,2411,7.58,,,,,206
,Jul 25,,11:03:37 AM,,Ride,,1921,7.67,,,,,207
,Jul 26,,11:18:01 AM,,Ride,,12657,7.55,,,,,208
,Jul 27,,1:37:42 PM,,Ride,,1894,7.11,,,,,209
,Jul 29,,11:16:17 AM,,Ride,,2901,7.48,,,,,211
,Jul 30,,10:24:54 AM,,Ride,,2534,7.98,,,,,212
,Jul 31,,4:33:00 AM,,Ride,,1332,7.34,,,,,213
,Aug 1,,1:28:59 PM,,Ride,,1282,4.94,,,,,214
,Aug 2,,11:49:00 AM,,Ride,,2707,8.28,,,,,215
